ID,SMILES
WP6_host,O=C(COC1=C(CC2=CC(OCC(O[Na])=O)=C3C=C2OCC(O[Na])=O)C=C(OCC(O[Na])=O)C(CC4=C(OCC(O[Na])=O)C=C(CC5=C(OCC(O[Na])=O)C=C(CC6=C(OCC(O[Na])=O)C=C(CC7=C(OCC(O[Na])=O)C=C(C3)C(OCC(O[Na])=O)=C7)C(OCC(O[Na])=O)=C6)C(OCC(O[Na])=O)=C5)C(OCC(O[Na])=O)=C4)=C1)O[Na]
G1,Cl[NH3]C1CCCCCCCCCCC1
G2,C[N+](CC1)(C)CCC1C2CC[N+](C)(C)CC2
G3,Cl[NH3][C@@H]1[C@@H]2CC[C@@H](C2)C1
G4,C[Si](C[NH3]Cl)(C)C
G5,C[C@@]1(C2)C[C@]3(N=Br(C)(C)C)C[C@@]2([NMe3Br])C[C@@](C1)(C)C3
G6,Cl[NH3]C1CCCCCCC1
G7,Cl[NH3]C1CCCCC1
G8,C[N+](CCCS(=O)([O-])=O)(C)CC1=CC=CC=C1
G9,O[C@]12C[C@@H]3C[C@@H](C[C@](C3)([NH3]Cl)C2)C1
G10,[NMe3I]CC1=CC=C(C[NMe3I])C=C1
G11,CC(C)(C[NH3]Cl)C
G12,[NMe3I]C1[C@@H]2C[C@H]3[C@@H](N=I(C)(C)C)[C@H](C[C@@H]1C3)C2
G13,C[N+]1=CC=C(C2=CC=[N+](C)C=C2)C=C1
