ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
ATM/FFENGINE/TIP3P/HREM,14,1.8578589828078986,1.2886023852509292,4.231367989545281,1.6019999999999999,1.0087311911765713,3.687924338724076,-0.938,-2.9829389474793007,1.0740215554429144,0.14030915203787916,0.0002622011967430809,0.7356125369648182,1.29420523138833,-2.860140952730393,6.218762095555002,0.28888888888888886,-0.4210526315789474,0.8095238095238095
DDM/FEP/MBAR/ParamChem,16,3.197092429067386,2.657263630127805,3.644888201303299,3.0700000000000003,2.489,3.595999999999999,-0.406,-2.3560000000000003,1.536,0.13295810229647745,0.0010412118845350182,0.5158642085671782,-2.1616901408450695,-6.497442891237641,1.1478238743479703,-0.1111111111111111,-0.6,0.4146341463414634
DD/GROMOS-53A6_glyc/SPC/MD,11,4.120715957209378,3.0754496131186353,5.323990253353155,3.716,2.5126789325117147,5.0779562368660445,-3.6300000000000003,-5.0517397312605095,-2.0859603924594707,0.00041306727452777647,0.00016395736742407673,0.7638221909468369,-0.07645875251509096,-4.2179528265062665,4.190844096406596,0.11935247900657214,-0.6,0.6923076923076923
APR/GAFF2/TIP3P/MD-US/MBAR,21,4.167205298518421,2.9139698148244926,5.583034403320206,3.832,2.548086820611837,5.190754661228885,-3.832,-5.189046250641602,-2.5297038184674507,0.21512868186432643,0.000654226966189058,0.7835043383981516,-1.2519919517102611,-3.645734886537481,2.1650046079781746,-0.19999999999999998,-0.7837837837837839,0.49999999999999994
APR/OFF2.0.0/TIP3P/MD-US/MBAR,23,4.315474481444653,2.6349108640103287,6.044359301925203,3.4259999999999997,1.8921779479627745,5.350175601960649,-3.4259999999999997,-5.313412786237723,-1.613107807927916,0.11718983997567442,0.00036392205918231663,0.6437919125529766,-1.6558953722334004,-7.172306816430696,1.9071929935522667,-0.15555555555555553,-0.7560975609756098,0.40540540540540543
APR/OFF1.2.0/TIP3P/MD-US/MBAR,22,4.412055076718785,2.7907520674790245,6.045991618348075,3.7369999999999997,2.170443349064382,5.450954303237035,-3.7369999999999997,-5.442391836151808,-2.0942310505098396,0.07689141000831187,0.00022323897204891383,0.6392981374000656,-1.2002816901408453,-5.870804066161513,2.2218958433966822,-0.06666666666666667,-0.7560975609756098,0.4358974358974359
MD/GAFF-RESP/TIP4PEW/MM-PBSA,13,15.328193631344822,13.94912097408113,16.716935501068413,15.225999999999999,13.814456766397678,16.607827552863014,15.225999999999999,13.814456766397678,16.607827552863014,0.7791082298075578,0.08598805196460707,0.9538760484863565,3.880321931589535,1.1093131159114002,6.351777001402346,0.44946657497549475,-0.15,0.9499999999999998
MD/GAFF-RESP/TIP4PEW/MM-GBSA,12,18.46890603148979,17.17958692098906,19.789319274419555,18.397,17.07801035373978,19.710029053066407,18.397,17.07801035373978,19.710029053066407,0.652068592104917,0.057641566020077833,0.9222701328773281,3.246116700201207,0.7606603966261656,7.284093121714829,0.6444444444444444,-0.049999999999999996,1.0
MD/GAFF-RESP/TIP4PEW/MM-GBSA_2,15,18.46890603148979,17.166461464468785,19.775460386017194,18.397,17.050670164901625,19.71203202580012,18.397,17.050670164901625,19.71203202580012,0.652068592104917,0.057615376962456784,0.9229264060838411,3.246116700201207,0.7489283957277526,7.146151203491415,0.6444444444444444,-0.047619047619047616,1.0
PMF/GAFF-RESP/TIP4PEW/SMD,10,27.26175214471733,22.81061887695733,31.371246940347934,26.383000000000003,22.198853021436783,30.768704180796135,26.383000000000003,22.198853021436783,30.768704180796135,0.003276694137495954,8.028835607169569e-05,0.5418111749198388,-0.7830583501006009,-11.674928879347727,12.92699670472739,0.022222222222222223,-0.5263157894736843,0.5555555555555556
