ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
DOCKING/SMINA/VINARDO,1,1.7021432567991055,1.7092880616271142,5.308697407839446,1.3624999999999998,1.3413459085615524,4.5289399887043915,-0.3941666666666667,-2.945233026811561,2.1293223982480742,0.13927345320794066,0.00027144537883250566,0.6838500956675657,0.18450683240389945,-1.215959633737475,1.6178102695444088,0.3333333333333333,-0.5625,0.7090909090909091
MACHINE-LEARNING/NNET/DRAGON-descriptors,3,2.043903536536562,1.1617095809697089,2.997119639765784,1.5725,0.8966828728151789,2.5169187559426724,0.6175,-0.6356453258058237,1.7526208342516618,0.14832688458582066,0.0004293543206269972,0.7989185622564439,0.37952034821846664,-0.3525523499375818,1.1311604146741254,0.2121212121212121,-0.41935483870967744,0.8
ELIE/GAFF2-ABCG2/TIP3P/MD/MMPBSA,8,2.485229700986745,1.3845590323105714,3.9407361754950183,1.9349999999999998,1.0916550483152119,3.226691426732789,1.9299999999999997,0.7922435144164911,3.1557287372619487,0.39673123396391263,0.0038983456272076848,0.8788852008420033,0.6635253927035887,-0.0786409647785947,1.3721437402752024,0.5038314736557788,-0.16666666666666666,0.8688524590163935
EE/Openff-2.0/TIP3P/MD-EE/All_data,5,2.585117663344037,1.764709297128036,3.4848650557603746,2.171666666666667,1.3902199698578748,3.1184731775211723,0.5200000000000001,-1.056943696488583,1.9343703853333725,0.6433941017153699,0.25993709313429825,0.8898121805440111,1.6863639266101913,0.9036204493275755,2.380514158072055,0.6363636363636362,0.17241379310344826,0.9322033898305085
EE/Openff-2.0/TIP3P/MD-EE/WL_RL.02_L.01,4,2.6459938271532937,1.6991157009547828,3.6597208312954597,2.16,1.3221488549728715,3.1640177764443673,0.48333333333333356,-1.1534554316873453,1.9203065566134694,0.6261106557432087,0.24842731085443778,0.888699427517278,1.6838230598952797,0.8972968850605612,2.4002000060385065,0.606060606060606,0.16666666666666666,0.9298245614035088
DDM/AMOEBA/BAR,7,2.7443608849177736,1.628509101622389,5.191091549095125,1.955,1.2714638601585697,4.249331376009233,-0.6016666666666666,-2.706708247501251,1.6443424220650016,0.5704359597321293,0.09434130098525219,0.879313741156032,1.60033895960155,0.5736294240193716,2.99454031868881,0.5757575757575757,0.05084745762711865,0.8730158730158729
EE/Openff-2.0/TIP3P/MD-EE/RL_8_only,6,2.8220766585382946,1.9132183593461498,3.7513618209609025,2.4433333333333334,1.607889870103569,3.395977389257442,1.1866666666666665,-0.42401379868571104,2.5973874430397186,0.7142890797967514,0.3453193518890859,0.9200961461378063,1.8505172193606063,1.1201731090711187,2.566023779155118,0.6969696969696969,0.3442622950819672,0.9999999999999999
EE/Openff-2.0/TIP3P/MD-EE/WL_RL.02_L.01/corrected,17,2.960715003733614,2.0496292728489456,3.891817981997014,2.61,1.73819567411656,3.5400183072540066,2.0766666666666667,0.7497424960074021,3.324326358616931,0.5442897609007998,0.05290931182361643,0.8927562346709773,1.2694356349240137,0.3250954194249983,2.049210147937772,0.4848484848484848,-0.10344827586206895,0.9016393442622952
APR/OFF1.2.0/TIP3P/MD-US/MBAR,19,3.1305563935718097,1.5674765734434573,4.978047857806141,2.2449999999999997,1.2379141622669423,3.8978725875509332,1.5033333333333332,-0.14609905241880652,3.3607624647020233,0.09261167272510125,0.0003392423041027656,0.7148547890990471,0.46533246775360787,-0.9752686999150955,1.428971767900417,0.2121212121212121,-0.4,0.7142857142857142
vDSSB/GAFF2/OPC3/HREM,2,3.745735352815697,2.5961332347108996,5.907526021165624,3.391666666666667,2.094445273005741,5.269769407267305,3.1300000000000003,1.143475624262272,5.050624743117629,0.43993819275659746,0.0022008274759712644,0.8295682840393952,1.0300753480056193,-0.3009995075568564,2.079103401732671,0.442760992000533,-0.2333333333333333,0.8387096774193549
APR/OFF2.0.0/TIP3P/MD-US/MBAR,20,3.8149497593895867,2.0614490874836804,5.898554858403833,2.894166666666667,1.6665257778841216,4.707137033739705,2.750833333333334,1.174692178105629,4.571385799723886,0.10805688519966984,0.0002783072826576562,0.7860463972701704,0.48839715210080475,-1.0058568049217027,1.4211154504820722,0.2121212121212121,-0.40983606557377056,0.7627118644067797
APR/GAFF2/TIP3P/MD-US/MBAR,18,6.663820850933294,5.329716725538963,8.019804996023527,6.174166666666667,4.601405242904624,7.7454988610124005,6.095833333333334,4.310279637242762,7.731074071683724,0.08274887422165299,0.00023155560884831295,0.691235801904985,0.4227017794048785,-0.925004003889176,1.2230575580759342,0.2727272727272727,-0.37704918032786894,0.7333333333333333
