ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
WP6-G10,1.38202026034353,0.3630252361042174,3.8910147144629437,0.9739999999999999,0.3036281588382671,3.189606060499652,0.8300000000000001,-1.0060482587607233,2.8926784564841928
WP6-G3,1.7872884490199112,0.5550262248527053,4.231180955420978,1.476,0.4621316775422528,3.5947525527405175,0.7359999999999998,-1.6017462726312666,2.9394729383049687
WP6-G11,1.8384993880880136,0.9640462904972994,3.884330341091366,1.6800000000000002,0.7752847501238893,3.481406908869147,1.4400000000000002,-0.732228781768835,3.2385274832530215
WP6-G5,2.9086938649503833,0.690849460041296,5.345321294216268,1.95,0.574281299806972,4.657612959203,1.2099999999999995,-1.3504176650907695,4.183595568885229
WP6-G6,2.222102607891904,0.7720611254049583,4.740400728936304,1.966,0.6443600196890525,4.094280833583374,0.53,-2.0519999382556326,3.114787189988017
WP6-G2,2.1908445859987427,1.0065403873940324,4.212030768401988,2.0040000000000004,0.8240641784055966,3.870892131132431,2.0040000000000004,0.1580547764675515,3.8308264366435028
WP6-G7,2.5170101310880733,0.8974810061122803,5.198617210267831,2.0980000000000003,0.7041890129574778,4.423088702290919,1.2820000000000003,-1.2705116437450503,3.8422301261637117
WP6-G13,3.3302102035757435,0.8036428052286949,6.662145465783333,2.4139999999999993,0.6505570693365257,5.441227650586131,1.7859999999999991,-1.0353234789940216,5.0760136099617075
WP6-G9,3.1639310991233676,1.4653896227495136,5.88983986459387,2.614,1.1472938444878626,5.139414883733896,1.8060000000000003,-1.1368868129845453,4.68949748861975
WP6-G1,3.2536379638798167,1.4978860392775728,5.123116501165353,2.7399999999999998,1.2637857664074235,4.8340239757465095,0.1320000000000002,-3.2279931531778283,3.2734142047708916
WP6-G12,3.6253358465113275,1.7562050798573852,6.230983576525317,2.9140000000000006,1.3529772405083964,5.520720712626011,1.1300000000000006,-2.2823364461690154,4.624869461111667
WP6-G8,3.943800197778787,2.096781549932893,6.5919183443837985,3.604,1.747984506600941,6.0295090197654115,0.45600000000000007,-3.4360674751723423,4.258378999639707
bCD-TDZ,9.575120103685384,0.9458593975850742,16.189812383100676,6.092499999999999,0.8449999999999998,14.3275,3.8825,-2.6825,13.905
bCD-PMT,10.752124208731967,1.1093691901256317,18.48047550795163,6.442500000000001,0.8450000000000004,16.4675,5.472500000000001,-0.9325000000000001,16.090000000000003
HbCD-PMT,10.169033877414314,2.1613595258540395,17.032199652423056,6.9350000000000005,1.3324999999999996,15.557500000000001,2.8450000000000006,-3.915,13.782500000000002
HbCD-TDZ,10.616955778376399,2.1956149480270897,17.885616427733208,7.295,1.9175,16.302500000000002,2.9800000000000004,-3.665,14.5225
bCD-PMZ,10.097003268296985,2.7071063887479556,16.684372927982643,7.322500000000001,2.1725,15.335000000000003,4.217500000000001,-3.105,14.037500000000003
bCD-CPZ,14.107148896924565,2.0960558198674004,23.98185147147734,9.135,2.085,21.32,6.78,-2.9575,21.2125
HbCD-CPZ,18.1616587898793,1.7569291391516053,31.238689153035857,10.675,1.0100000000000007,27.770000000000003,7.34,-3.245,26.275000000000002
bCD-TFP,16.889758731254865,2.816611439300778,28.777251866708884,10.844999999999999,2.3525,25.7975,8.315,-2.8674999999999997,25.232499999999998
HbCD-TFP,17.07238999085951,2.4864633518312718,29.065414154971194,10.915,2.3100000000000005,25.939999999999998,5.839999999999999,-4.495,24.324999999999996
HbCD-PMZ,17.426521454380964,2.9029726144075143,29.69345424500154,11.27,2.8949999999999996,26.457500000000003,5.8500000000000005,-4.4575,24.902500000000003
