Sample ID,SMILES
NCGC00013917-09,OC1=C(C=C(C2=CC=CN=C12)[S+](O)([O-])=O)\N=N\C3=CC=C4C=C(C=CC4=C3)[S+](O)([O-])=O
NCGC00014702-17,CC1=CC=CC(=C1C)NC2=NC(=NC(=C2)Cl)SCC(O)=O
NCGC00014711-15,OC(=O)CCC1=NC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00015122-14,CC(NC(C)(C)C)C(=O)C1=CC=CC(=C1)Cl
NCGC00015216-18,CCCNC(=O)N[S+]([O-])(=O)C1=CC=C(Cl)C=C1
NCGC00015467-36,COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)[S+]([O-])(=O)NC(=O)NC3CCCCC3
NCGC00016107-09,CC(C)N(CCC(=O)C1=CC=C2C=CC=CC2=C1)CC3=CC=CC=C3
NCGC00016227-08,OC(=O)CC1=CC(=C(OC2=CC(=C(O)C=C2)I)C(=C1)I)I
NCGC00018185-20,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC
NCGC00020328-05,FC1=CC=C(C=C1)C2=N[N](C=C2C3NC(=O)NC3=O)C4=CC=CC=C4
NCGC00023414-05,COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C([O-])=O
NCGC00024760-07,CN(C)CCC[N]1C=C(C2=CC=CC=C12)\C3=C(C(=O)NC3=O)/C4=C[NH]C5=C4C=CC=C5
NCGC00094937-05,CC(C(O)=O)C1=CC=C2C(=C1)[NH]C3=CC=C(Cl)C=C23
NCGC00095118-08,C[S+]([O-])(=O)C1=CC=C(C=C1)C/2=C(/C(=O)OC2)C3=CC=CC=C3
NCGC00095139-04,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=N[NH]N=N3)C(C(C)C)C(O)=O
NCGC00159570-03,OCC1=CC=C(S1)C2=CC=C(O2)C3=CC=C(CO)S3
NCGC00159574-09,COC1=C(OCCCN2CCOCC2)C=C3N=CN=C(NC4=CC=C(NC(=O)C5=CC=CC=C5)C=C4)C3=C1
NCGC00163696-04,CN(C)CC1CC[N]2C(=C(C3=C2C=CC=C3)\C4=C(\C(=O)NC4=O)C5=C[N](C)C6=C5C=CC=C6)C1
