Sample ID,IC50 (uM),SMILES
NCGC00456867-01,28.1838,CN(C)C1=CC=C(NC2=C(C=NC=N2)C3=NC(=NO3)C4=CC=CC=C4)C=C1
NCGC00378156-01,89.1251,CC(=O)N1CCC2(CC1)CN(CCO2)C(=O)CC3=CC=C(Cl)C=C3
NCGC00377871-01,112.2018,O=CC1=CC=C(C=C1)N2CCN(CC2=O)C(=O)N3CCCCC3
NCGC00377870-01,125.8925,O=CC1=CC=C(C=C1)N2CCN(CC2=O)C(=O)N3CCCC3
NCGC00480649-01,125.8925,COCCCNC(=O)C1=C[N]2N=C(C)C=C2N=C1
NCGC00373999-01,141.2538,FC1=CC(=C(C=C1)C2=C(C=O)C=CC=C2)F
NCGC00374441-01,177.8279,CCC1=NC(=C[NH]1)C2=CC=CC=C2
NCGC00375956-01,7.9433,COCCNC1=NC2=C(N=N[N]2C3=CC=CC=C13)[S+]([O-])(=O)C4=CC=C(Br)C=C4
NCGC00448143-01,8.9125,O=C(CC1=CSC=C1)NC2=CC=C(C=C2)C3=NN=C4CCCC[N]34
NCGC00464762-01,11.2202,O=C(NC1=CC2=C(OCCO2)C=C1)N3C[C@H](C[C@H]3C(=O)N4CCCC4)OC5=CN=CC=C5
NCGC00431254-01,12.5893,CN1CCC2=C(C1)SC(=N2)N3CCN(CC3)CC4CCCCC4
NCGC00375940-01,15.8489,COCCNC1=NC2=C(N=N[N]2C3=CC=CC=C13)[S+]([O-])(=O)C4=CC=C(C=C4)C(C)C
NCGC00375844-01,19.9526,COCCNC1=NC2=C(N=N[N]2C3=CC=CC=C13)[S+]([O-])(=O)C4=CC=C(Cl)C=C4
NCGC00455831-01,22.3872,O=C(CCC1=NC(=NO1)C2CCCN2C(=O)C3=N[NH]C4=CC=CC=C34)NCC5=CC=CC=C5
NCGC00450431-01,25.1189,FC1=CC=C(NC(=O)CCN2\C=C/[N]3N=C4CCCCC4=C3C2=O)C=C1F
NCGC00373983-01,28.1838,CC1=CC(=CC=C1C2=CC=C(C=O)C=C2)Cl
NCGC00376036-01,28.1838,[O-][S+](=O)(C1=CN=CC=C1)C2=C3N=C(NCC4=CC=C(F)C=C4)C5=CC=CC=C5[N]3N=N2
NCGC00446795-01,28.1838,CC1=CC=C(C=C1)C/2=N/OC3(CCN(CC3)C(=O)CC4=CC=C(Cl)C=C4)N2
NCGC00425873-01,31.6228,COC1=C(F)C=C(NC(=O)CCC2CCN(CC2)[S+]([O-])(=O)C3=CC=C(C)C=C3)C=C1
NCGC00427612-01,31.6228,O=C(NC1=CC(=CC=C1)C2=NN=C(C=C2)N3CCOCC3)NC4=CC=C5CCCC5=C4
NCGC00451526-01,31.6228,CC1=CC=C(C)C(=C1)CN2C(=O)NC3(CCN(CC3)C(=O)CC4=CC(=CC=C4)F)C2=O
NCGC00409078-01,35.4813,O=C1CC2=C(CN1CCOC3=CC=CC=C3)[NH]N=C2C4=CC(=CC=C4)C(=O)N5CCOCC5
NCGC00415989-01,35.4813,C[N]1C=C(C=N1)C(=O)NCC2CN(CC23CN(C3)C4=CC=CC=C4)C(=O)CC5=CC=C6OCOC6=C5
NCGC00423425-01,35.4813,COC1=CC=CC=C1NC(=O)C2C3=C(C=CC=C3)C(=O)N(CC4=CC=CC=C4)C25CCCC5
NCGC00432753-01,35.4813,COC1=CC=C(C=C1)C2=C(NCCC(O)=O)[N]3C=CN=CC3=N2
NCGC00437556-01,35.4813,COC1=C(F)C=C(C=C1)C(=O)NC2CCCN(C2)C3=CC(=N[NH]3)C4=CC=C(F)C=C4
NCGC00455497-01,35.4813,COC1=CC(=CC(=C1)OC)C(=O)NC2CCN(CC2)C3=CC(=NC=N3)C(F)(F)F
NCGC00471462-01,35.4813,COC1=CC(=C(OC)C=C1)NC(=O)C2CCC3=NC=C([N]3C2)C4=CSC=C4
NCGC00374468-01,39.8107,COC1=C(C=CC=C1)C(=O)N2CCC3=C(C2)C(=NC(=N3)C4CC4)C5=CC=C(Cl)C=C5
NCGC00375352-01,39.8107,O=C(N1CC2CCC(C1)N2CC3=CC=C(C=C3)C4=CC=CS4)C5=CC=NC=C5
