Sample ID,SMILES
MLS000033224-02,O=S(=O)(N1C=NC2=C1C=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N4CCCCCC4
MLS000051624-02,CCOC1=C(C=C(Cl)C(C)=C1)S(=O)(=O)N2C=NC3=C2C=CC=C3
MLS000107042-02,CC1=CC(=C(C)C=C1)S(=O)(=O)N2C=NC3=C2C=CC=C3
MLS000107414-02,CCCCOC1=CC=C(C=C1)S(=O)(=O)N2C(C)=NC3=CC=CC=C23
MLS000109973-02,COC1=CC=C(C=C1)S(=O)(=O)N2C=NC3=C2C=C(C)C(C)=C3
MLS000114252-02,CCOC1=CC=C(C=C1)S(=O)(=O)N2C(C)=NC3=C2C=CC=C3
MLS002608514-02,CC1(O)CCC2C3CCC4=CC5=NNC=C5CC4(C)C3CCC12C
MLS002608668-02,CC(=O)C12OC(C)(C)OC1CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC23C
MLS002694957-02,CCC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC12CC
MLS002702049-02,OCC1OC2C(OC3=NC(=N)C(F)=CN23)C1O
MLS002703591-02,CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(O)C#C
MLS002707279-02,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C
MLS003389320-02,NC(=O)C1=CSC(=N1)C2OC(CO)C(O)C2O
NCGC00013917-09,OC1=C(C=C(C2=CC=CN=C12)[S+](O)([O-])=O)\N=N\C3=CC=C4C=C(C=CC4=C3)[S+](O)([O-])=O
NCGC00014702-17,CC1=CC=CC(=C1C)NC2=NC(=NC(=C2)Cl)SCC(O)=O
NCGC00014711-15,OC(=O)CCC1=NC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00014802-05,CC1=C(CN/2\C3=C(\CN(CC3)CC4=CC=CC=C4)C(=O)N5CC\N=C25)C=CC=C1
NCGC00014925-10,CC[C@@]1(O)C(=O)OC\C2=C1\C=C3/N(CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C34)C2=O
NCGC00015004-16,ClC1=CC\2=C(OC3=C(C=CC=C3)\N=C2N4CCNCC4)C=C1
NCGC00015088-09,CC(=O)NCCC1=C[NH]C2=C1C=CC=C2
NCGC00015122-14,CC(NC(C)(C)C)C(=O)C1=CC=CC(=C1)Cl
NCGC00015126-08,COC1=C(C=CC=C1)N2CCN(CC2)CCN3C(=O)CC4(CCCC4)CC3=O
NCGC00015169-03,CN1CCC2=C(C=C3OCOC3=C2)C1C4OC(=O)C5=C4C=CC6=C5OCO6
NCGC00015173-08,OC(CN1CCN(CC1)C2=CC=CC(=C2)Cl)C(C3=CC=CC=C3)C4=CC=CC=C4
NCGC00015187-02,CCNC(=O)C1OC(C(O)C1O)[N]2C=NC3=C(N)N=C(NCCC4=CC=C(CCC(O)=O)C=C4)N=C23
NCGC00015216-18,CCCNC(=O)N[S+]([O-])(=O)C1=CC=C(Cl)C=C1
NCGC00015243-11,ClC1=CC=C(C[N]2C(=NC3=C2C=CC=C3)CN4CCCC4)C=C1
NCGC00015256-17,CCN(CC)CCCC(C)NC1=CC=NC2=C1C=CC(=C2)Cl
NCGC00015267-12,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C3=CC=C(F)C=C3
NCGC00015325-04,C\C1=C\N(C\2OC(CO)\C=C2)C(=O)NC1=O
NCGC00015339-08,CC1=CC(=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]3=C4C=CC=CC4=C(N)C=C3C)N
NCGC00015358-19,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=N2)C(C)C
NCGC00015453-10,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4
