Sample ID, SMILES
NCGC00167578-07,c1ccc(cc1)C[C@@H](CC(=O)N2C[C@H]3CCCC[C@H]3C2)C(=O)O[Ca]OC(=O)[C@@H](Cc4ccccc4)CC(=O)N5C[C@H]6CCCC[C@H]6C5
NCGC00169614-02,C[C@H]1C(=O)N2c3ccccc3[C@]4([C@H]2N1[C@@]5(c6nc7ccccc7c(=O)n6[C@H](C4)C(=O)N5)C)O
NCGC00180527-03,C[C@]12C[C@]3([C@@H]4C[C@]1([C@@]4([C@@H](O2)O3)COC(=O)c5ccccc5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O
NCGC00180680-03,C[C@@]12CCC[C@@]([C@H]1CC[C@]34C2=CC[C@@H](C3)C(=C)C4)(C)C(=O)O
NCGC00249888-04,Cc1cc2c(cc1C)[n+](cn2C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC\4(C(C5=N/C4=C(\C6=N/C(=C\C7=N/C(=C(\C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)/C)/C(C7CCC(=O)N)(C)CC(=O)N)/C(C6CCC(=O)N)(C)C)/C)CC(=O)N)C)O)[Co]C#N
NCGC00346521-01,c1cc(cnc1)CC(O)(P(=O)(O)O)P(=O)(O)O[Na]
NCGC00356070-01,c1ccc(c(c1)C(=O)/C=C/N2C[C@@H]3C[C@@H]2CN3c4ccccn4)O
NCGC00380240-01,C[C@@]12CCC[C@@]([C@H]1CC[C@]34C2=CC[C@@H](C3)C(C4)(CO)O)(C)C(=O)O
NCGC00380499-01,C/C(=C\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C=C/[C@@]2([C@@]3(C[C@@H](C[C@@]2(OC3)C)O)C)O
NCGC00380749-01,C[C@]12C[C@]3([C@@H]4C[C@]1([C@@]4([C@@H](O2)O3)COC(=O)c5ccccc5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)COC(=O)c7ccccc7)O)O)O)O
NCGC00380849-01,C/C=C/CCC(=O)C1=C(C2(C3C(=C([C@@]4(C1[C@]5([C@@]2(O[C@@]3([C@@]4(O5)O)C)O)C)C)O)C(=O)/C=C/C=C/C)C)O
NCGC00380860-01,CC(=O)O[C@H]1C(=C)[C@H]2CCC3[C@]1(C2)CCC4[C@]3(CCC[C@@]4(C)C(=O)O)C
NCGC00380952-01,C[C@@H]1[C@H]([C@H]2[C@@H]([C@H]1OC(=O)C)C=C([C@@H]3[C@@H]2[C@H]4[C@@H](C3)[C@]5(CC[C@@H]6[C@H]([C@]([C@@H]4C(=O)O6)(O5)O)C)C)C(=O)O)O
